nom_structure;reseau;lien_compte;type_formation;contact;date_dernier_post;pays;ville
Kennis Language Center;LinkedIn;https://www.linkedin.com/company/kennis-language;Ecole de langues (DE/FR/IT) examens;+237650309085;;Cameroun;Douala
Kennis Language Center;Facebook;https://www.facebook.com/kennislanguage;Ecole de langues mobilite etudes;+237650309085;;Cameroun;Yaounde
Fishboard;Facebook;https://www.facebook.com/fishboardgroup;Preparation IELTS anglais;+237656525753;;Cameroun;Yaounde
Fishboard;LinkedIn;https://www.linkedin.com/company/fishboard;Preparation IELTS anglais;+237656525753;;Cameroun;Yaounde
Fishboard;Instagram;https://www.instagram.com/fishboardenglish;Preparation IELTS anglais;+237656525753;;Cameroun;Yaounde
GTIC ecole de langues;LinkedIn;https://www.linkedin.com/company/gtic-centre-de-formations-ecole-de-langues;Ecole de langues allemand anglais;+237675723262;;Cameroun;Douala
GTIC ecole de langues;Instagram;https://www.instagram.com/gtic01;Ecole de langues formations;+237696054293;;Cameroun;Douala
Seven Advanced Academy;LinkedIn;https://www.linkedin.com/company/seven-advanced-academy;Formation digitale data cybersecurity;+237658066982;;Cameroun;Douala
Seven Advanced Academy;Facebook;https://www.facebook.com/Sevenacademycameroon;Formation digitale informatique;+237658066982;;Cameroun;Douala
Seven Advanced Academy;Instagram;https://www.instagram.com/sevenadvancedacademy;Formation digitale informatique;+237658066982;;Cameroun;Douala
PSK Language Center;LinkedIn;https://www.linkedin.com/company/psk-language-center;Ecole de langues anglais;+237692351189;;Cameroun;Douala
English For All Cameroun;LinkedIn;https://www.linkedin.com/company/english-for-all-cameroun;Centre linguistique anglais;+237699794868;;Cameroun;Yaounde
VLC Vista Language Center;LinkedIn;https://www.linkedin.com/company/vlc-vista-language-center;Langues TOEIC TOEFL IELTS;+237695223236;;Cameroun;Douala
LocalHost Academy;LinkedIn;https://www.linkedin.com/company/localhost-academy;Metiers du digital formation pro;+237678279957;;Cameroun;Douala
Crack the TCF Canada;LinkedIn;https://www.linkedin.com/company/crackthetcfcanada;Preparation TCF TEF Canada;+18775131563;;Canada;Abbotsford
my TCF Canada;LinkedIn;https://www.linkedin.com/company/mytcfcanada;Preparation TCF Canada en ligne;contact@mytcfcanada.com;;Etats-Unis;Maryland
Bamacours Abidjan;LinkedIn;https://www.linkedin.com/company/bamacours;Langues formation pro B2B;+2250720719706;;Cote d'Ivoire;Abidjan
Bamacours Dakar;LinkedIn;https://www.linkedin.com/company/bamacours;Langues formation pro;+221785971415;;Senegal;Dakar
