nom_structure,reseau,lien_compte,type_formation,contact,date_dernier_post,pays,ville
Kennis Language Center,LinkedIn,https://www.linkedin.com/company/kennis-language,École de langues (DE/FR/IT) examens,+237650309085,,Cameroun,Douala
Kennis Language Center,Facebook,https://www.facebook.com/kennislanguage,École de langues mobilité études,+237650309085,,Cameroun,Yaoundé
Fishboard,Facebook,https://www.facebook.com/fishboardgroup,Préparation IELTS anglais,+237656525753,,Cameroun,Yaoundé
Fishboard,LinkedIn,https://www.linkedin.com/company/fishboard,Préparation IELTS anglais,+237656525753,,Cameroun,Yaoundé
Fishboard,Instagram,https://www.instagram.com/fishboardenglish,Préparation IELTS anglais,+237656525753,,Cameroun,Yaoundé
GTIC école de langues,LinkedIn,https://www.linkedin.com/company/gtic-centre-de-formations-ecole-de-langues,École de langues allemand anglais,+237675723262,,Cameroun,Douala
GTIC école de langues,Instagram,https://www.instagram.com/gtic01,École de langues formations,+237696054293,,Cameroun,Douala
Seven Advanced Academy,LinkedIn,https://www.linkedin.com/company/seven-advanced-academy,Formation digitale data cybersécurité,+237658066982,,Cameroun,Douala
Seven Advanced Academy,Facebook,https://www.facebook.com/Sevenacademycameroon,Formation digitale informatique,+237658066982,,Cameroun,Douala
Seven Advanced Academy,Instagram,https://www.instagram.com/sevenadvancedacademy,Formation digitale informatique,+237658066982,,Cameroun,Douala
PSK Language Center,LinkedIn,https://www.linkedin.com/company/psk-language-center,École de langues anglais,+237692351189,,Cameroun,Douala
English For All Cameroun,LinkedIn,https://www.linkedin.com/company/english-for-all-cameroun,Centre linguistique anglais,+237699794868,,Cameroun,Yaoundé
VLC Vista Language Center,LinkedIn,https://www.linkedin.com/company/vlc-vista-language-center,Langues TOEIC TOEFL IELTS,+237695223236,,Cameroun,Douala
LocalHost Academy,LinkedIn,https://www.linkedin.com/company/localhost-academy,Métiers du digital formation pro,+237678279957,,Cameroun,Douala
Crack the TCF Canada,LinkedIn,https://www.linkedin.com/company/crackthetcfcanada,Préparation TCF TEF Canada,+18775131563,,Canada,Abbotsford
my TCF Canada,LinkedIn,https://www.linkedin.com/company/mytcfcanada,Préparation TCF Canada en ligne,contact@mytcfcanada.com,,États-Unis,Maryland
Bamacours Abidjan,LinkedIn,https://www.linkedin.com/company/bamacours,Langues formation pro B2B,+2250720719706,,Côte d'Ivoire,Abidjan
Bamacours Dakar,LinkedIn,https://www.linkedin.com/company/bamacours,Langues formation pro,+221785971415,,Sénégal,Dakar
